iter	RMSE
162	4.097454901
163	4.090072284
164	4.081972413
165	4.067792321
166	4.060385403
167	4.052993835
168	4.043422857
169	4.033332401
170	4.023183786
171	4.010303102
172	4.00275467
173	3.995878587
174	3.985784672
175	3.976131492
176	3.970151266
177	3.959778544
178	3.954398107
179	3.944508192
180	3.935791582
181	3.924706932
182	3.917837546
183	3.906950383
184	3.902956308
185	3.892972487
186	3.886319797
187	3.88001604
188	3.87206858
189	3.863240071
190	3.853959794
191	3.846154587
192	3.839503267
193	3.834972055
194	3.82915874
195	3.821685644
196	3.817496326
197	3.81407658
198	3.809280898
199	3.80081274
200	3.795054126
201	3.789574308
202	3.785609337
203	3.778267011
204	3.774884816
205	3.770607162
206	3.765660019
207	3.761727461
208	3.752023544
209	3.74919217
210	3.742376548
211	3.735322424
212	3.726921207
213	3.720831758
214	3.712679428
215	3.707729456
216	3.699261218
217	3.691460924
218	3.682183672
219	3.676862085
220	3.671236093
221	3.664751294
222	3.654451937
223	3.645130544
224	3.639986627
225	3.636134951
226	3.629986324
227	3.625208766
228	3.621183274
229	3.610509228
230	3.606904854
231	3.599128321
232	3.592570483
233	3.584429535
234	3.579185856
235	3.572089482
236	3.564864398
237	3.559720993
238	3.555842536
239	3.548106091
240	3.539715121
241	3.530054054
242	3.527210888
243	3.518283122
244	3.511820496
245	3.507715699
246	3.50371554
247	3.496526375
248	3.492855817
249	3.48595088
250	3.478172437
251	3.47250142
252	3.468230679
253	3.459873911
254	3.452177259
255	3.446983019
256	3.44496369
257	3.441543304
258	3.434124581
259	3.427830927
260	3.421146349
261	3.414454142
262	3.408009651
263	3.404657553
264	3.397735532
265	3.389837092
266	3.382196306
267	3.378563924
268	3.371277937
269	3.365666397
270	3.363490276
271	3.356194369
272	3.352892487
273	3.344893117
274	3.341176912
275	3.334564607
276	3.325419662
277	3.320509391
278	3.314887879
279	3.307456842
280	3.301428272
281	3.297514312
282	3.295188878
283	3.289091992
284	3.28484445
285	3.274986188
286	3.265525208
287	3.263311066
288	3.256357119
289	3.249356717
290	3.244779157
291	3.240646926
292	3.237998875
293	3.233464801
294	3.228144622
295	3.224223198
296	3.222302366
297	3.217649712
298	3.213313361
299	3.211593827
300	3.207210868
301	3.203654429
302	3.199163894
303	3.193809058
304	3.191364487
305	3.184194675
306	3.182298309
307	3.17841847
308	3.176319311
309	3.169262038
310	3.165136901
311	3.164118168
312	3.159987171
313	3.157627376
314	3.152044952
315	3.147927639
316	3.142822919
317	3.137508059
318	3.134964873
319	3.131168976
320	3.125312297
321	3.119810801
322	3.11791607
323	3.112383346
324	3.108953956
325	3.106294021
326	3.10005305
327	3.095192328
328	3.09238186
329	3.089739344
330	3.08453541
331	3.079140302
332	3.075608149
333	3.070393631
334	3.064472728
335	3.060509205
336	3.058295178
337	3.05298816
338	3.051175143
339	3.047326096
340	3.044943971
341	3.041897176
342	3.037201486
343	3.034167884
344	3.02972112
345	3.023108945
346	3.017624586
347	3.016567359
348	3.010970225
349	3.007139831
350	3.001647768
351	2.997522973
352	2.992140142
353	2.989467292
354	2.985415856
355	2.981185119
356	2.977851687
357	2.97532059
358	2.974354172
359	2.970813138
360	2.963652221
361	2.959740009
362	2.956999187
363	2.95358755
364	2.952225356
365	2.950855387
366	2.948863251
367	2.947897276
368	2.943058054
369	2.940036659
370	2.93673607
371	2.929619831
372	2.928703442
373	2.922385976
374	2.919349953
375	2.915397865
376	2.914364139
377	2.910761045
378	2.90619662
379	2.905578493
380	2.900844639
381	2.897816913
382	2.892776946
383	2.888859466
384	2.886001124
385	2.882393788
386	2.879956315
387	2.875117014
388	2.874585783
389	2.873014557
390	2.868549556
391	2.863960462
392	2.862881061
393	2.855033695
394	2.850694021
395	2.849759981
396	2.847551856
397	2.843883935
398	2.838366167
399	2.832806619
400	2.830817066
401	2.827946398
402	2.82406004
403	2.820658959
404	2.813762952
405	2.809162457
406	2.803506888
407	2.801865857
408	2.795207177
409	2.792171471
410	2.788386873
411	2.785981183
412	2.785336156
413	2.780068148
414	2.779281571
415	2.775255684
416	2.771436178
417	2.766696059
418	2.765513473
419	2.761843318
420	2.759405475
421	2.75701387
422	2.755300608
423	2.754348351
424	2.75319671
425	2.748300802
426	2.745616943
427	2.740226133
428	2.738639172
429	2.735941356
430	2.730635266
431	2.729866937
432	2.726830911
433	2.724464481
434	2.722880944
435	2.720971633
436	2.717846123
437	2.714305583
438	2.712526228
439	2.711770597
440	2.710144259
441	2.70622621
442	2.705656108
443	2.702956754
444	2.701026034
445	2.695728452
446	2.693015396
447	2.692326989
448	2.687095319
449	2.684426479
450	2.679774939
451	2.675882651
452	2.672793449
453	2.670971205
454	2.670084792
455	2.662431295
456	2.65996628
457	2.658288222
458	2.657326019
459	2.656346091
460	2.651306408
461	2.650617587
462	2.649122825
463	2.645692517
464	2.640577223
465	2.635821936
466	2.6316947
467	2.631176384
468	2.627113652
469	2.624982993
470	2.620407477
471	2.617220882
472	2.612935759
473	2.607958541
474	2.604768574
475	2.601996631
476	2.59969593
477	2.596773661
478	2.596201708
479	2.593986188
480	2.59162407
481	2.590174929
482	2.588413174
483	2.587948916
484	2.587401024
485	2.585010027
486	2.581635842
487	2.578134371
488	2.576733505
489	2.575461774
490	2.573667355
491	2.571515507
492	2.570215303
493	2.566117488
494	2.564996362
495	2.561004817
496	2.558542368
497	2.556214036
498	2.55313119
499	2.551631121
500	2.54779556
501	2.544480955
502	2.540258643
503	2.538894285
504	2.534100278
505	2.530998103
506	2.526783933
507	2.525614277
508	2.524268597
509	2.523080275
510	2.52087808
511	2.517393729
512	2.515033965
513	2.51021263
514	2.504946505
515	2.503214485
516	2.500758449
517	2.496838767
518	2.493976503
519	2.49308393
520	2.490504614
521	2.488476256
522	2.487475471
523	2.485593656
524	2.484423665
525	2.48184504
526	2.479787372
527	2.476888307
528	2.473508971
529	2.470515656
530	2.468052403
531	2.465867311
532	2.464710624
533	2.462898526
534	2.459366819
535	2.45537033
536	2.451298776
537	2.449305639
538	2.448483787
539	2.442909865
540	2.441704434
541	2.439500615
542	2.43819168
543	2.437468157
544	2.432560256
545	2.428523022
546	2.426839866
547	2.425186195
548	2.423675406
549	2.423252561
550	2.422288931
551	2.418884601
552	2.413837747
553	2.410003155
554	2.406954756
555	2.404971378
556	2.402949385
557	2.40081694
558	2.397549826
559	2.393629314
560	2.389583807
561	2.384914354
562	2.384392801
563	2.383425148
564	2.379359035
565	2.37539616
566	2.372133841
567	2.368887889
568	2.365484602
569	2.362707417
570	2.361663216
571	2.359330359
572	2.355003749
573	2.352473395
574	2.351494684
575	2.350086113
576	2.349248122
577	2.347355964
578	2.345816754
579	2.339982223
580	2.33749701
581	2.334683086
582	2.333315282
583	2.331580056
584	2.327438394
585	2.326798476
586	2.324458749
587	2.322807258
588	2.319196755
589	2.315382447
590	2.314293145
591	2.310463971
592	2.308823471
593	2.307227578
594	2.304132155
595	2.301987024
596	2.300211264
597	2.297259916
598	2.295130529
599	2.292501474
600	2.292081933
601	2.289818341
602	2.285645738
603	2.283310758
604	2.280621542
605	2.277279561
606	2.276422062
607	2.273614222
608	2.273201066
609	2.271143176
610	2.268890874
611	2.267258607
612	2.264970417
613	2.263035774
614	2.262452586
615	2.261614303
616	2.256805107
617	2.254707774
618	2.253892397
619	2.252359937
620	2.250287473
621	2.248430522
622	2.245704539
623	2.242559148
624	2.241150525
625	2.237290574
626	2.234720026
627	2.232309272
628	2.229421227
629	2.227304301
630	2.224905347
631	2.221239799
632	2.218323265
633	2.215013301
634	2.214206027
635	2.212843281
636	2.210632525
637	2.207624915
638	2.20455671
639	2.202459896
640	2.200844088
641	2.197432601
642	2.196136296
643	2.195782711
644	2.194930996
645	2.19364549
646	2.192262273
647	2.188412654
648	2.185750655
649	2.184184938
650	2.183199631
651	2.180783858
652	2.178960555
653	2.178243788
654	2.178144283
655	2.174864786
656	2.17265876
657	2.170911356
658	2.169360684
659	2.166541774
660	2.165325106
661	2.164135174
662	2.161673966
663	2.158586896
664	2.15687191
665	2.154598011
666	2.153176135
667	2.151781585
668	2.150846413
669	2.149959745
670	2.147942649
671	2.146356931
672	2.142230075
673	2.13930035
674	2.135950353
675	2.133504985
676	2.132480194
677	2.131743631
678	2.127818682
679	2.125127897
680	2.123544294
681	2.122200637
682	2.121324638
683	2.119480057
684	2.117112911
685	2.114518467
686	2.113201319
687	2.109539245
688	2.108060076
689	2.106734424
690	2.10450168
691	2.101881089
692	2.100446306
693	2.099221484
694	2.097382607
695	2.095262677
696	2.093147089
697	2.091675438
698	2.089194157
699	2.08674746
700	2.085821446
701	2.08370541
702	2.082239515
703	2.08028664
704	2.077522253
705	2.076124814
706	2.075192986
707	2.072740351
708	2.071663131
709	2.068847749
710	2.068303322
711	2.067162139
712	2.066582793
713	2.065259522
714	2.063819124
715	2.061832113
716	2.059642041
717	2.057982363
718	2.055062461
719	2.053990739
720	2.053777507
721	2.053291505
722	2.051321656
723	2.049033571
724	2.048214447
725	2.047928033
726	2.046559636
727	2.045450646
728	2.044288162
729	2.042044
730	2.040364233
731	2.038862193
732	2.038639473
733	2.036484977
734	2.033879204
735	2.032804351
736	2.029377648
737	2.027114805
738	2.024630717
739	2.021331941
740	2.02025851
741	2.018597672
742	2.016408707
743	2.01365825
744	2.01234748
745	2.01094629
746	2.009707233
747	2.008426974
748	2.007743037
749	2.006360121
750	2.005778714
751	2.003727154
752	2.001410503
753	2.000368538
754	1.998102267
755	1.997470907
756	1.9949371
757	1.992850189
758	1.9921643
759	1.988884278
760	1.987398612
761	1.986589499
762	1.985882126
763	1.984575749
764	1.983519242
765	1.982048447
766	1.978859583
767	1.977545346
768	1.975775091
769	1.973101029
770	1.971896012
771	1.971486315
772	1.968910066
773	1.967337117
774	1.966569377
775	1.963281491
776	1.962905201
777	1.961003827
778	1.959362819
779	1.95907468
780	1.958469537
781	1.957318748
782	1.956483879
783	1.954338924
784	1.951353265
785	1.949181296
786	1.946784482
787	1.945399454
788	1.943470061
789	1.942329403
790	1.940389394
791	1.938287412
792	1.937959572
793	1.93511654
794	1.933523035
795	1.93280367
796	1.931611502
797	1.929552857
798	1.927006101
799	1.9258793
800	1.925569498
801	1.924567013
802	1.923432694
803	1.92195917
804	1.920979981
805	1.918574084
806	1.917681638
807	1.916080086
808	1.914820096
809	1.91184241
810	1.909260699
811	1.906339102
812	1.905114972
813	1.904544787
814	1.903733556
815	1.902403164
816	1.899578707
817	1.897988001
818	1.896980088
819	1.896104993
820	1.894343274
821	1.892945285
822	1.89192964
823	1.890494294
824	1.888961829
825	1.88789993
826	1.886289766
827	1.884684922
828	1.883726356
829	1.881978259
830	1.880280007
831	1.877685631
832	1.876573814
833	1.876039029
834	1.8745004
835	1.873238473
836	1.871205028
837	1.870810335
838	1.87026105
839	1.868609309
840	1.86689267
841	1.865908761
842	1.86348032
843	1.861293545
844	1.860966031
845	1.859586388
846	1.857702523
847	1.856945898
848	1.854458083
849	1.852733753
850	1.851361748
851	1.850498584
852	1.849314714
853	1.847432043
854	1.846903581
855	1.845464435
856	1.844027191
857	1.842237338
858	1.841181301
859	1.839174234
860	1.837973028
861	1.837554894
862	1.836864672
863	1.83342202
864	1.832161682
865	1.831656045
866	1.831339106
867	1.830400001
868	1.829309824
869	1.828084863
870	1.826727067
871	1.826070797
872	1.825576396
873	1.824254526
874	1.823483428
875	1.823401776
876	1.82225042
877	1.821255428
878	1.820176161
879	1.817487057
880	1.817204355
881	1.816135072
882	1.815201073
883	1.814231473
884	1.812899023
885	1.811538367
886	1.811042061
887	1.809978728
888	1.809514579
889	1.808880494
890	1.808130576
891	1.807010462
892	1.806816084
893	1.806672574
894	1.806485246
895	1.806248072
896	1.802918458
897	1.801591956
898	1.801352376
899	1.799667027
900	1.798067337
901	1.796195887
902	1.795994705
903	1.795688295
904	1.79292915
905	1.791883886
906	1.790029124
907	1.789178764
908	1.787708155
909	1.787649259
910	1.78623923
911	1.785249855
912	1.784142112
913	1.783533447
914	1.781277104
915	1.778890567
916	1.77813566
917	1.777635386
918	1.777187338
919	1.775263181
920	1.772630244
921	1.77161556
922	1.768857232
923	1.768311997
924	1.767513179
925	1.7666834
926	1.765492797
927	1.764439205
928	1.763119494
929	1.76242144
930	1.760499313
931	1.758320484
932	1.758076191
933	1.757020029
934	1.756266025
935	1.755262125
936	1.754550549
937	1.754502698
938	1.752480848
939	1.752318009
940	1.752022973
941	1.750537691
942	1.749869142
943	1.748933429
944	1.748139085
945	1.747000375
946	1.746083411
947	1.744708738
948	1.744257434
949	1.742989449
950	1.741210615
951	1.740579351
952	1.739576911
953	1.738979769
954	1.736850563
955	1.735653565
956	1.734873887
957	1.733692143
958	1.733656704
959	1.731525785
960	1.729248983
961	1.728198292
962	1.727867815
963	1.72615659
964	1.726086568
965	1.725236342
966	1.724029999
967	1.723508819
968	1.723472425
969	1.722187047
970	1.720061182
971	1.71753515
972	1.716455941
973	1.715517301
974	1.715273124
975	1.713524309
976	1.711468061
977	1.711106888
978	1.709791878
979	1.708907304
980	1.708087163
981	1.707190809
982	1.706399082
983	1.705722209
984	1.705686286
985	1.705353695
986	1.703768143
987	1.703041643
988	1.701982098
989	1.701223786
990	1.699859285
991	1.699826663
992	1.697755357
993	1.695258799
994	1.693633002
995	1.692886684
996	1.690605541
997	1.688939738
998	1.688346294
999	1.687643848
